timestamp,user_id,event_type,ip_address,asn,country_code,user_agent,device_fingerprint,session_id,session_duration_seconds,auth_method,mfa_used,success
2026-01-01T06:00:00,user_01,failed_login,10.0.0.1,64510,US,ua-0,dev-user_01-0,s-user_01-0,600,sso,false,false
2026-01-01T06:10:00,user_02,login,10.1.1.2,64511,NG,ua-1,dev-user_02-1,s-user_02-0,720,password,true,true
2026-01-01T06:20:00,user_03,login,10.2.2.3,64512,NG,ua-2,dev-user_03-2,s-user_03-0,840,password,true,true
2026-01-01T06:30:00,user_04,login,10.3.3.4,64513,NG,ua-3,dev-user_04-0,s-user_04-1,960,password,true,true
2026-01-01T06:40:00,user_05,login,10.4.4.5,64514,NG,ua-0,dev-user_05-1,s-user_05-1,1080,password,true,true
2026-01-01T06:50:00,user_06,login,10.5.5.6,64515,NG,ua-1,dev-user_06-2,s-user_06-1,1200,password,true,true
2026-01-01T07:00:00,user_07,login,10.6.6.7,64510,NG,ua-2,dev-user_07-0,s-user_07-2,1320,password,false,true
2026-01-01T07:10:00,user_08,login,10.0.7.8,64511,NG,ua-3,dev-user_08-1,s-user_08-2,1440,password,true,true
2026-01-01T07:20:00,user_09,login,10.1.8.9,64512,NG,ua-0,dev-user_09-2,s-user_09-2,1560,sso,true,true
2026-01-01T07:30:00,user_10,login,10.2.9.10,64513,NG,ua-1,dev-user_10-0,s-user_10-3,600,password,true,true
2026-01-01T07:40:00,user_11,login,10.3.10.11,64514,NG,ua-2,dev-user_11-1,s-user_11-3,720,password,true,true
2026-01-01T07:50:00,user_12,login,10.4.11.12,64515,NG,ua-3,dev-user_12-2,s-user_12-3,840,password,true,true
2026-01-01T08:00:00,user_13,login,10.5.12.13,64510,NG,ua-0,dev-user_13-0,s-user_13-4,960,password,false,true
2026-01-01T08:10:00,user_14,login,10.6.13.14,64511,US,ua-1,dev-user_14-1,s-user_14-4,1080,password,true,true
2026-01-01T08:20:00,user_15,login,10.0.14.15,64512,NG,ua-2,dev-user_15-2,s-user_15-4,1200,password,true,true
2026-01-01T08:30:00,user_16,login,10.1.15.16,64513,NG,ua-3,dev-user_16-0,s-user_16-5,1320,password,true,true
2026-01-01T08:40:00,user_17,login,10.2.16.17,64514,NG,ua-0,dev-user_17-1,s-user_17-5,1440,sso,true,true
2026-01-01T08:50:00,user_18,login,10.3.17.18,64515,NG,ua-1,dev-user_18-2,s-user_18-5,1560,password,true,true
2026-01-01T09:00:00,user_19,login,10.4.18.19,64510,NG,ua-2,dev-user_19-0,s-user_19-6,600,password,false,true
2026-01-01T09:10:00,user_20,login,10.5.0.20,64511,NG,ua-3,dev-user_20-1,s-user_20-6,720,password,true,true
2026-01-01T09:20:00,user_01,login,10.6.1.21,64512,NG,ua-0,dev-user_01-2,s-user_01-6,840,password,true,true
2026-01-01T09:30:00,user_02,login,10.0.2.22,64513,NG,ua-1,dev-user_02-0,s-user_02-7,960,password,true,true
2026-01-01T09:40:00,user_03,login,10.1.3.23,64514,NG,ua-2,dev-user_03-1,s-user_03-7,1080,password,true,true
2026-01-01T09:50:00,user_04,login,10.2.4.24,64515,NG,ua-3,dev-user_04-2,s-user_04-7,1200,password,true,true
2026-01-01T10:00:00,user_05,login,10.3.5.25,64510,NG,ua-0,dev-user_05-0,s-user_05-8,1320,sso,false,true
2026-01-01T10:10:00,user_06,login,10.4.6.26,64511,NG,ua-1,dev-user_06-1,s-user_06-8,1440,password,true,true
2026-01-01T10:20:00,user_07,login,10.5.7.27,64512,US,ua-2,dev-user_07-2,s-user_07-8,1560,password,true,true
2026-01-01T10:30:00,user_08,login,10.6.8.28,64513,NG,ua-3,dev-user_08-0,s-user_08-9,600,password,true,true
2026-01-01T10:40:00,user_09,login,10.0.9.29,64514,NG,ua-0,dev-user_09-1,s-user_09-9,720,password,true,true
2026-01-01T10:50:00,user_10,login,10.1.10.30,64515,NG,ua-1,dev-user_10-2,s-user_10-9,840,password,true,true
2026-01-01T11:00:00,user_11,login,10.2.11.31,64510,NG,ua-2,dev-user_11-0,s-user_11-10,960,password,false,true
2026-01-01T11:10:00,user_12,login,10.3.12.32,64511,NG,ua-3,dev-user_12-1,s-user_12-10,1080,password,true,true
2026-01-01T11:20:00,user_13,login,10.4.13.33,64512,NG,ua-0,dev-user_13-2,s-user_13-10,1200,sso,true,true
2026-01-01T11:30:00,user_14,login,10.5.14.34,64513,NG,ua-1,dev-user_14-0,s-user_14-11,1320,password,true,true
2026-01-01T11:40:00,user_15,login,10.6.15.35,64514,NG,ua-2,dev-user_15-1,s-user_15-11,1440,password,true,true
